DateTime,Lat,Lng,Dep,Mag
2014-11-01 09:37:05:83,17.9286,-67.105,10,1.14
2014-11-01 10:26:22:47,17.9055,-67.1425,5,1.65
2014-11-01 10:30:30:14,19.164,-65.8105,94,2.7
2014-11-01 10:31:05:61,18.0295,-66.991,18,2.35
2014-11-01 11:13:30:14,17.9156,-67.1148,9,2.4
2014-11-01 13:03:28:89,18.491,-64.5278,8,1.88
2014-11-01 17:53:17:06,19.012,-67.2545,16,2.92
2014-11-02 00:29:30:77,18.0913,-63.6288,29,2.97
2014-11-02 03:39:09:66,17.991,-67.0376,11,1.61
2014-11-02 06:01:53:75,18.771,-65.2783,51,2.65
2014-11-02 07:55:11:60,17.7926,-68.696,123,3.75
2014-11-02 09:06:04:72,18.1638,-67.1996,25,2.79
2014-11-02 15:09:08:46,18.1578,-67.2471,21,1.72
2014-11-02 23:50:33:70,19.306,-64.4903,30,2.99
2014-11-03 03:16:41:71,18.8753,-66.4041,51,2.7
2014-11-03 05:06:18:13,18.9558,-67.133,45,2.62
2014-11-03 05:07:31:15,19.1106,-67.228,24,3.18
2014-11-03 08:50:52:65,18.2951,-68.1526,30,3.23
2014-11-03 09:21:12:68,18.1398,-67.4366,12,2.7
2014-11-03 12:00:23:92,18.3635,-68.0023,110,3.25
2014-11-03 14:49:17:98,19.2611,-66.33,32,2.69
2014-11-03 14:58:23:84,19.0176,-66.8423,37,2.91
2014-11-03 15:08:53:17,19.0215,-66.8636,26,3.15
2014-11-03 15:39:18:73,19.0183,-66.868,21,2.67
2014-11-03 17:03:34:81,17.8348,-67.9613,66,3.17
2014-11-03 18:15:52:87,18.2145,-67.5905,14,2.52
2014-11-03 18:49:45:16,19.3021,-66.3246,21,3.08
2014-11-04 01:09:02:95,18.1381,-64.842,126,3.12
2014-11-05 00:45:24:87,19.2375,-64.212,27,3.38
2014-11-05 02:17:11:13,19.0081,-65.2305,26,2.53
2014-11-05 11:43:15:83,19.1756,-66.3646,68,2.76
2014-11-05 17:01:27:69,18.7488,-67.4431,7,3.15
2014-11-06 04:45:59:60,18.9941,-63.9568,22,3.24
2014-11-06 07:28:31:32,18.4281,-65.8521,81,2.69
2014-11-06 18:35:06:41,18.4928,-66.3148,102,2.93
2014-11-06 19:05:08:31,17.9048,-66.7978,9,1.9
2014-11-06 22:32:45:33,19.2501,-64.4965,35,3.17
2014-11-07 18:07:39:59,18.9311,-65.9823,44,3.04
2014-11-07 21:40:30:04,18.1136,-66.0768,29,1.96
2014-11-08 01:14:24:41,18.353,-64.156,151,2.87
2014-11-08 07:34:16:06,17.8978,-68.5905,103,3.11
2014-11-08 07:36:04:58,19.2026,-64.5136,34,2.58
2014-11-08 14:53:55:18,18.2846,-68.183,142,3.24
2014-11-08 16:30:06:73,18.6478,-65.3428,67,2.4
2014-11-08 16:54:10:59,18.942,-66.3333,28,2.88
2014-11-08 17:00:00:42,19.0355,-64.776,29,2.48
2014-11-08 20:11:25:81,19.2816,-65.0866,94,2.7
2014-11-09 02:20:25:93,18.8068,-67.1713,59,2.57
2014-11-09 08:48:08:10,19.0608,-65.1148,24,2.5
2014-11-09 09:11:28:88,18.1953,-66.8313,27,2.38
2014-11-09 10:02:44:01,18.3563,-67.3668,18,2.52
2014-11-10 02:47:04:65,18.4771,-65.7323,97,2.78
